Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
Chevrolet,Blazer LT,2.5L Inline-4 Gasoline,2500 cc,193 л.с.,200 km/h,9.0 сек,2 743 600 руб.,Petrol,5,255 Nm
Chevrolet,Malibu Premier,2.0L Turbo Inline-4 Gasoline,2000 cc,250 л.с.,240 km/h,5.8 сек,2 622 000 руб.,Petrol,5,353 Nm
Chevrolet,Equinox RS,1.5L Turbo Inline-4 Gasoline,1500 cc,170 л.с.,200 km/h,8.8 сек,2 424 400 руб.,Petrol,5,275 Nm
Chevrolet,Silverado 1500 Custom,4.3L V6 Gasoline,4300 cc,285 л.с.,180 km/h,8.6 сек,2 652 400 руб.,Petrol,6,413 Nm
Chevrolet,Silverado 2500HD LTZ,6.6L V8 Diesel,6600 cc,445 л.с.,160 km/h,8.4 сек,4 286 400 руб.,Diesel,6,1234 Nm
Chevrolet,Tahoe RST,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.4 сек,4 871 600 руб.,Petrol,7,519 Nm
Chevrolet,Suburban LT,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,5.1 сек,4 894 400 руб.,Petrol,8,519 Nm
Chevrolet,Bolt EV Premier,Single Electric Motor,66 kWh,200 л.с.,150 km/h,6.5 сек,2 409 200 руб.,Electric,5,360 Nm
Chevrolet,Tahoe LS,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.5 сек,4 331 620 руб.,Petrol,8,519 Nm
Chevrolet,Tahoe LT,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.4 сек,4 749 620 руб.,Petrol,8,519 Nm
Chevrolet,Tahoe RST,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.4 сек,4 871 600 руб.,Petrol,7,519 Nm
Chevrolet,Tahoe Z71,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.6 сек,5 069 200 руб.,Petrol,7,519 Nm
Chevrolet,Tahoe Premier,6.2L V8 Gasoline,6200 cc,420 л.с.,200 km/h,6.8 сек,5 441 600 руб.,Petrol,7,624 Nm
Chevrolet,Tahoe High Country,6.2L V8 Gasoline,6200 cc,420 л.с.,200 km/h,6.7 сек,5 829 200 руб.,Petrol,7,624 Nm
Chevrolet,Tahoe Midnight Edition,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.5 сек,4 978 000 руб.,Petrol,8,519 Nm
Chevrolet,Tahoe Sport Edition,6.2L V8 Gasoline,6200 cc,420 л.с.,200 km/h,6.8 сек,5 320 000 руб.,Petrol,7,624 Nm
GMC,Terrain,1.5L Turbo 4-cylinder,1500 cc,175 л.с.,190 km/h,9.5 сек,2 272 400 руб.,Petrol,5,275 Nm
GMC,Acadia,2.0L Turbo 4-cylinder,2000 cc,228 л.с.,200 km/h,7.8 сек,2 796 800 руб.,Petrol,7,350 Nm
GMC,Yukon,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.4 сек,4 362 400 руб.,Petrol,8,519 Nm
GMC,Yukon XL,6.2L V8 Gasoline,6200 cc,420 л.с.,200 km/h,6.9 сек,4 643 600 руб.,Petrol,8,624 Nm
GMC,Canyon,2.7L Turbo 4-cylinder,2700 cc,310 л.с.,190 km/h,7.6 сек,2 804 400 руб.,Petrol,5,583 Nm
GMC,Sierra 1500,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.3 сек,2 819 600 руб.,Petrol,6,519 Nm
GMC,Sierra 2500HD,6.6L V8 Diesel,6600 cc,401 л.с.,175 km/h,7.5 сек,3 336 400 руб.,Diesel,6,629 Nm
GMC,Sierra 3500HD,6.6L V8 Diesel,6600 cc,445 л.с.,175 km/h,7.4 сек,3 724 000 руб.,Diesel,6,1234 Nm
GMC,Hummer EV Pickup,Dual-Motor Electric,212 kWh,625 л.с.,170 km/h,3.0 сек,8 261 200 руб.,Electric,5,1000+ Nm
GMC,Hummer EV SUV,Dual-Motor Electric,212 kWh,625 л.с.,170 km/h,3.5 сек,8 025 600 руб.,Electric,5,1000+ Nm
GMC,Yukon Denali,6.2L V8 Gasoline,6200 cc,420 л.с.,200 km/h,6.8 сек,5 532 800 руб.,Petrol,8,624 Nm
GMC,Sierra Denali,6.2L V8 Gasoline,6200 cc,420 л.с.,190 km/h,6.7 сек,5 076 800 руб.,Petrol,6,624 Nm
GMC,Terrain AT4,1.5L Turbo 4-cylinder,1500 cc,175 л.с.,190 km/h,9.6 сек,2 774 000 руб.,Petrol,5,275 Nm
GMC,Acadia AT4,3.6L V6 Gasoline,3600 cc,310 л.с.,210 km/h,7.6 сек,3 146 400 руб.,Petrol,6,366 Nm
GMC,Sierra 1500 AT4,5.3L V8 Gasoline,5300 cc,355 л.с.,180 km/h,7.4 сек,4 088 800 руб.,Petrol,6,519 Nm
GMC,Sierra 2500HD Denali,6.6L V8 Diesel,6600 cc,401 л.с.,175 km/h,7.5 сек,5 487 200 руб.,Diesel,6,1234 Nm
GMC,Sierra Elevation,2.7L Turbo 4-cylinder,2700 cc,310 л.с.,190 km/h,7.6 сек,3 420 000 руб.,Petrol,5,583 Nm
GMC,Canyon AT4,2.7L Turbo 4-cylinder,2700 cc,310 л.с.,190 km/h,7.5 сек,3 336 400 руб.,Petrol,5,583 Nm
GMC,Canyon Denali,2.7L Turbo 4-cylinder,2700 cc,310 л.с.,190 km/h,7.5 сек,3 648 000 руб.,Petrol,5,583 Nm
GMC,Yukon XL Denali Ultimate,6.2L V8 Gasoline,6200 cc,420 л.с.,200 km/h,6.7 сек,7 128 800 руб.,Petrol,8,624 Nm
GMC,Terrain Denali,1.5L Turbo 4-cylinder,1500 cc,175 л.с.,190 km/h,9.5 сек,2 933 600 руб.,Petrol,5,275 Nm
GMC,Acadia Denali,3.6L V6 engine,"3,564 cc",310 л.с.,210 km/h,6.5 сек,4 126 800 руб.,Petrol,7,366 Nm
GMC,Yukon AT4,5.3L V8 engine,"5,327 cc",355 л.с.,210 km/h,7.1 сек,5 434 380 руб.,Petrol,8,519 Nm
GMC,Yukon XL AT4,5.3L V8 engine,"5,327 cc",355 л.с.,210 km/h,7.3 сек,5 571 180 руб.,Petrol,8,519 Nm
GMC,Sierra 1500 Elevation,2.7L Turbo engine,"2,713 cc",310 л.с.,180 km/h,7.0 сек,3 952 000 руб.,Petrol,5,569 Nm
GMC,Sierra 1500 SLT,5.3L V8 engine,"5,327 cc",355 л.с.,180 km/h,6.8 сек,4 256 000 руб.,Petrol,5,519 Nm
GMC,Sierra 2500HD AT4,6.6L V8 engine,"6,600 cc",401 л.с.,170 km/h,7.5 сек,5 320 000 руб.,Petrol,5,629 Nm
GMC,Sierra 3500HD AT4,6.6L V8 engine,"6,600 cc",401 л.с.,170 km/h,7.7 сек,5 472 000 руб.,Petrol,5,629 Nm
GMC,Canyon Elevation,2.5L I4 engine,"2,488 cc",200 л.с.,175 km/h,8.5 сек,2 758 800 руб.,Petrol,5,259 Nm
GMC,Canyon Denali Black Edition,3.6L V6 engine,"3,564 cc",308 л.с.,180 km/h,6.9 сек,3 344 000 руб.,Petrol,5,373 Nm
GMC,Sierra 1500 Denali Ultimate,6.2L V8 engine,"6,162 cc",420 л.с.,200 km/h,5.8 сек,6 080 000 руб.,Petrol,5,624 Nm
GMC,Yukon XL Denali Reserve,6.2L V8 engine,"6,162 cc",420 л.с.,210 km/h,6.0 сек,6 232 000 руб.,Petrol,7,624 Nm
GMC,Terrain Elevation Edition,1.5L Turbocharged I4 engine,"1,490 cc",170 л.с.,200 km/h,9.3 сек,2 181 200 руб.,Petrol,5,275 Nm
GMC,Acadia Black Edition,3.6L V6 engine,"3,564 cc",310 л.с.,210 km/h,6.5 сек,3 420 000 руб.,Petrol,7,366 Nm
GMC,Hummer EV SUV Edition 1,"Electric motors with up to 11,500 lb-ft torque",200 kWh,Up to 830 л.с.,170 km/h,3.5 сек,7 337 800 руб.,Electric,5,"15,590 Nm"
GMC,Hummer EV Pickup Edition 1,"Electric motors with up to 11,500 lb-ft torque",200 kWh,"Up to 1,000 л.с.",170 km/h,3.0 сек,7 337 800 руб.,Electric,5,"15,590 Nm"
GMC,Sierra Denali CarbonPro,6.2L V8 engine,"6,162 cc",420 л.с.,200 km/h,5.8 сек,4 940 000 руб.,Petrol,5,624 Nm
GMC,Yukon Denali Performance,6.2L V8 engine,"6,162 cc",420 л.с.,210 km/h,6.0 сек,5 837 180 руб.,Petrol,8,624 Nm
GMC,Sierra 2500HD Denali Black Edition,6.6L V8 engine,"6,600 cc",401 л.с.,170 km/h,7.5 сек,5 700 000 руб.,Petrol,5,629 Nm
GMC,Canyon AT4X,3.6L V6 engine,"3,564 cc",308 л.с.,180 km/h,6.9 сек,3 800 000 руб.,Petrol,5,373 Nm
GMC,Yukon XL SLT,5.3L V8 engine,"5,327 cc",355 л.с.,210 km/h,7.3 сек,4 940 000 руб.,Petrol,8,519 Nm
GMC,Sierra 1500 Pro,4.3L V6 engine,"4,300 cc",285 л.с.,180 km/h,7.5 сек,2 865 200 руб.,Petrol,3,413 Nm
GMC,Sierra 2500HD Pro,6.6L V8 engine,"6,600 cc",401 л.с.,170 km/h,7.7 сек,4 560 000 руб.,Petrol,3,629 Nm
GMC,Sierra 3500HD Pro,6.6L V8 engine,"6,600 cc",401 л.с.,170 km/h,7.8 сек,4 712 000 руб.,Petrol,3,629 Nm
GMC,Terrain SLT,1.5L Turbocharged I4 engine,"1,490 cc",170 л.с.,200 km/h,9.4 сек,2 356 000 руб.,Petrol,5,275 Nm
GMC,Acadia SLE,3.6L V6 engine,"3,564 cc",310 л.с.,210 km/h,6.6 сек,3 040 000 руб.,Petrol,7,366 Nm
GMC,Canyon SLT,2.5L I4 engine,"2,488 cc",200 л.с.,175 km/h,8.6 сек,2 888 000 руб.,Petrol,5,259 Nm
GMC,Yukon XL Elevation,5.3L V8 engine,"5,327 cc",355 л.с.,210 km/h,7.4 сек,5 700 000 руб.,Petrol,8,519 Nm
GMC,Sierra 1500 AT4X,6.2L V8 engine,"6,162 cc",420 л.с.,200 km/h,5.9 сек,6 232 000 руб.,Petrol,5,624 Nm
GMC,Hummer EV SUV Extreme Off-Road,"Electric motors with up to 11,500 lb-ft torque",200 kWh,Up to 830 л.с.,170 km/h,3.6 сек,8 360 000 руб.,Electric,5,"15,590 Nm"
GMC,Sierra EV Denali,Electric motors with advanced AWD,200 kWh,Up to 754 л.с.,170 km/h,4.5 сек,8 261 200 руб.,Electric,5,"1,064 Nm"
GMC,Hummer EV Omega Edition,"Electric motors with up to 11,500 lb-ft torque",200 kWh,"Up to 1,000 л.с.",170 km/h,3.0 сек,8 565 200 руб.,Electric,5,"15,590 Nm"
GMC,Canyon AT4X Edition 1,3.6L V6 engine,"3,564 cc",308 л.с.,180 km/h,6.8 сек,4 180 000 руб.,Petrol,5,373 Nm
GMC,Yukon Denali Ultimate Black,6.2L V8 engine,"6,162 cc",420 л.с.,210 km/h,6.0 сек,6 840 000 руб.,Petrol,8,624 Nm
GMC,Sierra HD Denali Reserve,6.6L V8 engine,"6,600 cc",401 л.с.,170 km/h,7.5 сек,6 460 000 руб.,Petrol,5,629 Nm
GMC,Acadia Denali Ultimate,3.6L V6 engine,"3,564 cc",310 л.с.,210 km/h,6.5 сек,4 560 000 руб.,Petrol,7,366 Nm
GMC,Terrain All-Terrain Edition,1.5L Turbocharged I4 engine,"1,490 cc",170 л.с.,200 km/h,9.3 сек,2 660 000 руб.,Petrol,5,275 Nm
GMC,Yukon Trailering Edition,5.3L V8 engine,"5,327 cc",355 л.с.,210 km/h,7.5 сек,5 928 000 руб.,Petrol,8,519 Nm
GMC,Hummer EV Adventure Series,"Electric motors with up to 11,500 lb-ft torque",200 kWh,Up to 830 л.с.,170 km/h,3.6 сек,7 980 000 руб.,Electric,5,"15,590 Nm"
Kia,Rio,1.6L 4-Cylinder,1591 cc,120 л.с.,180 km/h,10.3 сек,1 292 000 руб.,Petrol,5,151 Nm
Kia,Rio 5-Door,1.6L 4-Cylinder,1591 cc,120 л.с.,180 km/h,10.3 сек,1 368 000 руб.,Petrol,5,151 Nm
Kia,Seltos Nightfall Edition,1.6L Turbocharged 4-Cylinder,1591 cc,175 л.с.,210 km/h,7.5 сек,2 128 000 руб.,Petrol,5,264 Nm
Peugeot,508 PSE (Peugeot Sport Engineered),Hybrid I4 + Electric Motor,"1,599 cc (petrol) + Electric Motor",360 л.с.,250 km/h,5.2 сек,4 180 000 руб.,Hybrid,5,520 Nm
Kia,Sorento X-Line,2.5L Turbocharged 4-Cylinder,2500 cc,277 л.с.,220 km/h,7.0 сек,3 192 000 руб.,Petrol,7,421 Nm
Kia,Telluride SX,3.8L V6,3778 cc,291 л.с.,240 km/h,7.0 сек,3 800 000 руб.,Petrol,7,355 Nm
Kia,Forte LXS,2.0L 4-Cylinder,1999 cc,147 л.с.,190 km/h,9.2 сек,1 444 000 руб.,Petrol,5,179 Nm
Kia,K5 EX,1.6L Turbocharged 4-Cylinder,1591 cc,180 л.с.,220 km/h,7.8 сек,2 166 000 руб.,Petrol,5,264 Nm
Kia,Niro Plug-In Hybrid,1.6L 4-Cylinder Hybrid,1591 cc,139 л.с.,180 km/h,10.5 сек,2 508 000 руб.,Hybrid,5,265 Nm
Kia,EV6 Wind,Electric Motor,77.4 kWh,225 л.с.,190 km/h,5.2 сек,3 800 000 руб.,Electric,5,350 Nm
Kia,Soul Turbo,1.6L Turbocharged 4-Cylinder,1591 cc,201 л.с.,200 km/h,6.5 сек,2 128 000 руб.,Petrol,5,264 Nm
Kia,Seltos SX,1.6L Turbocharged 4-Cylinder,1591 cc,175 л.с.,210 km/h,7.5 сек,2 166 000 руб.,Petrol,5,264 Nm
Kia,Stinger Scorpion Edition,2.5L Turbocharged 4-Cylinder,2500 cc,300 л.с.,270 km/h,5.0 сек,4 180 000 руб.,Petrol,5,422 Nm
Kia,Sorento Hybrid SX Prestige,1.6L Hybrid Turbocharged 4-Cylinder,1591 cc,227 л.с.,200 km/h,7.9 сек,3 572 000 руб.,Hybrid,7,352 Nm
Kia,Carnival EX,3.5L V6,3500 cc,290 л.с.,220 km/h,8.0 сек,3 230 000 руб.,Petrol,8,355 Nm
Kia,Telluride Nightfall Edition,3.8L V6,3778 cc,291 л.с.,240 km/h,7.0 сек,3 876 000 руб.,Petrol,7,355 Nm
Peugeot,508 Plug-In Hybrid,Hybrid I4 + Electric Motor,"1,598 cc (petrol) + Electric Motor",225 л.с.,210 km/h,7.5 сек,3 344 000 руб.,Hybrid,5,360 Nm
Kia,EV6 First Edition,Electric Motor,77.4 kWh,320 л.с.,230 km/h,5.0 сек,4 408 000 руб.,Electric,5,450 Nm
Kia,Niro Touring,1.6L 4-Cylinder Hybrid,1591 cc,139 л.с.,180 km/h,10.5 сек,2 508 000 руб.,Hybrid,5,265 Nm
Kia,Forte GT-Line,1.6L Turbocharged 4-Cylinder,1591 cc,201 л.с.,200 km/h,6.5 сек,1 900 000 руб.,Petrol,5,264 Nm
Kia,Seltos EX,2.0L 4-Cylinder,1999 cc,146 л.с.,190 km/h,9.0 сек,1 786 000 руб.,Petrol,5,179 Nm
Peugeot,3008 Plug-In Hybrid,Hybrid I4 + Electric Motor,"1,598 cc (petrol) + Electric Motor",225 л.с.,210 km/h,7.0 сек,3 192 000 руб.,Hybrid,5,360 Nm
Kia,Sorento LX,2.5L 4-Cylinder,2500 cc,191 л.с.,210 km/h,8.5 сек,2 698 000 руб.,Petrol,7,246 Nm
Kia,Telluride EX,3.8L V6,3778 cc,291 л.с.,240 km/h,7.0 сек,3 344 000 руб.,Petrol,7,355 Nm
Kia,Soul EX,2.0L 4-Cylinder,1999 cc,147 л.с.,190 km/h,9.5 сек,1 672 000 руб.,Petrol,5,179 Nm
Kia,Forte FE,2.0L 4-Cylinder,1999 cc,147 л.с.,190 km/h,9.2 сек,1 406 000 руб.,Petrol,5,179 Nm
Kia,K5 GT-Line,1.6L Turbocharged 4-Cylinder,1591 cc,180 л.с.,220 km/h,7.8 сек,2 204 000 руб.,Petrol,5,264 Nm
Kia,Carnival LXS,3.5L V6,3500 cc,290 л.с.,220 km/h,8.0 сек,3 002 000 руб.,Petrol,8,355 Nm
Kia,EV6 Light,Electric Motor,77.4 kWh,225 л.с.,190 km/h,5.2 сек,3 496 000 руб.,Electric,5,350 Nm
Kia,Niro EX,1.6L 4-Cylinder Hybrid,1591 cc,139 л.с.,180 km/h,10.5 сек,2 280 000 руб.,Hybrid,5,265 Nm
Kia,Stinger GT,3.3L Turbocharged V6,3300 cc,365 л.с.,270 km/h,4.7 сек,3 914 000 руб.,Petrol,5,510 Nm
Kia,Sorento SX Prestige,2.5L Hybrid Turbocharged 4-Cylinder,1591 cc,227 л.с.,200 km/h,7.9 сек,3 648 000 руб.,Hybrid,7,352 Nm
Kia,Telluride SX Prestige,3.8L V6,3778 cc,291 л.с.,240 km/h,7.0 сек,3 952 000 руб.,Petrol,7,355 Nm
Peugeot,508 Hybrid4,Hybrid I4 + Electric Motor,"1,598 cc (petrol) + Electric Motor",300 л.с.,235 km/h,6.0 сек,3 572 000 руб.,Hybrid,5,520 Nm
Kia,EV6 GT Performance,Electric Motor,77.4 kWh,577 л.с.,260 km/h,3.5 сек,4 940 000 руб.,Electric,5,740 Nm
Kia,Niro SX Touring,1.6L 4-Cylinder Hybrid,1591 cc,139 л.с.,180 km/h,10.5 сек,2 622 000 руб.,Hybrid,5,265 Nm
Kia,Carnival SX Prestige,3.5L V6,3500 cc,290 л.с.,220 km/h,8.0 сек,3 572 000 руб.,Petrol,8,355 Nm
Kia,Seltos SX Turbo,1.6L Turbocharged 4-Cylinder,1591 cc,175 л.с.,210 km/h,7.5 сек,2 432 000 руб.,Petrol,5,264 Nm
Kia,Forte EX Premium,2.0L 4-Cylinder,1999 cc,147 л.с.,190 km/h,9.2 сек,1 710 000 руб.,Petrol,5,179 Nm
Kia,Soul EX Designer Edition,2.0L 4-Cylinder,1999 cc,147 л.с.,190 km/h,9.5 сек,1 786 000 руб.,Petrol,5,179 Nm
Kia,Rio S,1.6L 4-Cylinder,1591 cc,120 л.с.,180 km/h,10.3 сек,1 330 000 руб.,Petrol,5,151 Nm
Kia,Rio 5-Door S,1.6L 4-Cylinder,1591 cc,120 л.с.,180 km/h,10.3 сек,1 368 000 руб.,Petrol,5,151 Nm
Kia,Soul S,2.0L 4-Cylinder,1999 cc,147 л.с.,190 km/h,9.5 сек,1 558 000 руб.,Petrol,5,179 Nm
Kia,Seltos LX,2.0L 4-Cylinder,1999 cc,146 л.с.,190 km/h,9.2 сек,1 748 000 руб.,Petrol,5,179 Nm
Peugeot,3008 Hybrid4,Hybrid I4+ Electric Motor,"1,599 cc (Petrol) + Electric Motor",300 л.с.,235 km/h,6.0 сек,3 420 000 руб.,Hybrid,5,520 Nm
Kia,Sorento Hybrid EX,1.6L Hybrid Turbocharged 4-Cylinder,1591 cc,227 л.с.,200 km/h,7.9 сек,3 572 000 руб.,Hybrid,7,352 Nm
Kia,Telluride LX,3.8L V6,3778 cc,291 л.с.,240 km/h,7.0 сек,3 154 000 руб.,Petrol,7,355 Nm
Kia,Carnival MPV EX,3.5L V6,3500 cc,290 л.с.,220 km/h,8.0 сек,3 306 000 руб.,Petrol,8,355 Nm
Kia,EV6 AWD GT-Line,Electric Motor,77.4 kWh,320 л.с.,230 km/h,5.0 сек,4 560 000 руб.,Electric,5,450 Nm
Kia,Forte GT Turbo,1.6L Turbocharged 4-Cylinder,1591 cc,201 л.с.,200 km/h,6.5 сек,1 938 000 руб.,Petrol,5,264 Nm
Kia,Soul GT Designer Edition,2.0L 4-Cylinder,1999 cc,147 л.с.,190 km/h,9.5 сек,1 748 000 руб.,Petrol,5,179 Nm
Kia,Seltos X-Line Turbo,1.6L Turbocharged 4-Cylinder,1591 cc,175 л.с.,210 km/h,7.5 сек,2 280 000 руб.,Petrol,5,264 Nm
Peugeot,e-2008 GT,Electric Motor,50 kWh,136 л.с.,200 km/h,8.5 сек,3 040 000 руб.,Electric,5,260 Nm
Kia,Telluride Limited Edition,3.8L V6,3778 cc,291 л.с.,240 km/h,7.0 сек,4 028 000 руб.,Petrol,7,355 Nm
Kia,Stinger GT-Line,2.5L Turbocharged 4-Cylinder,2500 cc,300 л.с.,270 km/h,5.0 сек,3 800 000 руб.,Petrol,5,422 Nm
Kia,Carnival Special Edition,3.5L V6,3500 cc,290 л.с.,220 km/h,8.0 сек,3 458 000 руб.,Petrol,8,355 Nm
Kia,Niro SX Hybrid,1.6L Hybrid Turbocharged 4-Cylinder,1591 cc,139 л.с.,180 km/h,10.5 сек,2 736 000 руб.,Hybrid,5,265 Nm
Kia,EV6 First Edition AWD,Electric Motor,77.4 kWh,320 л.с.,230 km/h,5.0 сек,4 712 000 руб.,Electric,5,450 Nm
Kia,Sorento X-Pro Hybrid,1.6L Hybrid Turbocharged 4-Cylinder,1591 cc,227 л.с.,200 km/h,7.8 сек,3 724 000 руб.,Hybrid,7,352 Nm
Kia,Forte Limited Edition,2.0L 4-Cylinder,1999 cc,147 л.с.,190 km/h,9.2 сек,1 710 000 руб.,Petrol,5,179 Nm
Bugatti,Chiron,8.0L Quad-Turbo W16,7993 cc,1500 л.с.,420 km/h,2.5 сек,228 000 000 руб.,Petrol,2,1600 Nm
Bugatti,Chiron Pur Sport,8.0L Quad-Turbo W16,7993 cc,1500 л.с.,350 km/h,2.3 сек,250 800 000 руб.,Petrol,2,1600 Nm
Bugatti,Chiron Super Sport,8.0L Quad-Turbo W16,7993 cc,1600 л.с.,490 km/h,2.4 сек,266 000 000 руб.,Petrol,2,1600 Nm
Bugatti,Chiron Sport,8.0L Quad-Turbo W16,7993 cc,1500 л.с.,420 km/h,2.4 сек,250 800 000 руб.,Petrol,2,1600 Nm
Bugatti,Chiron Noire,8.0L Quad-Turbo W16,7993 cc,1500 л.с.,420 km/h,2.5 сек,250 800 000 руб.,Petrol,2,1600 Nm
Bugatti,Divo,8.0L Quad-Turbo W16,7993 cc,1500 л.с.,380 km/h,2.4 сек,440 800 000 руб.,Petrol,2,1600 Nm
Bugatti,Centodieci,8.0L Quad-Turbo W16,7993 cc,1600 л.с.,380 km/h,2.4 сек,684 000 000 руб.,Petrol,2,1600 Nm
Bugatti,La Voiture Noire,8.0L Quad-Turbo W16,7993 cc,1500 л.с.,420 km/h,2.5 сек,1 368 000 000 руб.,Petrol,2,1600 Nm
Bugatti,Bolide,8.0L Quad-Turbo W16,7993 cc,1850 л.с.,500 km/h,2.2 сек,342 000 000 руб.,Petrol,2,1600 Nm
Bugatti,Mistral,8.0L Quad-Turbo W16,7993 cc,1600 л.с.,420 km/h,2.4 сек,380 000 000 руб.,Petrol,2,1600 Nm
Volvo,Volvo FH,13.0L I6 Turbo Diesel,13000 cc,540 л.с.,120 km/h,15.0 сек,9 120 000 руб.,Diesel,2,2600 Nm
Volvo,Volvo FH16,16.1L I6 Turbo Diesel,16100 cc,750 л.с.,120 km/h,14.5 сек,12 160 000 руб.,Diesel,2,3500 Nm
Volvo,Volvo FM,12.8L I6 Turbo Diesel,12800 cc,460 л.с.,110 km/h,16.0 сек,7 600 000 руб.,Diesel,2,2200 Nm
Volvo,Volvo FMX,13.0L I6 Turbo Diesel,13000 cc,500 л.с.,110 km/h,16.5 сек,8 360 000 руб.,Diesel,2,2500 Nm
Volvo,Volvo VNL,12.8L I6 Turbo Diesel,12800 cc,500 л.с.,120 km/h,15.0 сек,9 500 000 руб.,Diesel,2,2400 Nm
Volvo,Volvo VNR,12.8L I6 Turbo Diesel,12800 cc,400 л.с.,110 km/h,17.0 сек,7 220 000 руб.,Diesel,2,1800 Nm
Volvo,Volvo VHD,12.8L I6 Turbo Diesel,12800 cc,500 л.с.,100 km/h,18.0 сек,9 120 000 руб.,Diesel,2,2500 Nm
Volvo,Volvo FE,7.7L I6 Turbo Diesel,7700 cc,280 л.с.,90 km/h,20.0 сек,6 460 000 руб.,Diesel,2,1200 Nm
Volvo,Volvo FL,5.1L I4 Turbo Diesel,5100 cc,180 л.с.,80 km/h,22.0 сек,5 700 000 руб.,Diesel,2,800 Nm
Jaguar Land Rover,Jaguar F-Type,V6 / V8 Petrol,2995 cc (V6),335 л.с.,260 km/h,5.1 сек,5 320 000 руб.,Petrol,2,450 Nm
Jaguar Land Rover,Jaguar XE,I4 Petrol,1999 cc (I4),250 л.с.,250 km/h,6.5 сек,3 420 000 руб.,Petrol,5,365 Nm
Jaguar Land Rover,Jaguar XF,I4 Petrol,1999 cc (I4),250 л.с.,250 km/h,6.5 сек,3 800 000 руб.,Petrol,5,365 Nm
Jaguar Land Rover,Jaguar XJ,V6 Petrol,2995 cc (V6),300 л.с.,250 km/h,6.0 сек,6 460 000 руб.,Petrol,5,400 Nm
Jaguar Land Rover,Jaguar E-PACE,I4 Petrol,1999 cc (I4),200 л.с.,230 km/h,7.0 сек,3 800 000 руб.,Petrol,5,430 Nm
Jaguar Land Rover,Jaguar I-PACE,Electric (Dual Motor),90 kWh (Battery),400 л.с.,200 km/h,4.8 сек,5 320 000 руб.,Electric,5,696 Nm
Jaguar Land Rover,Jaguar F-PACE,I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),250 л.с. / 340 л.с.,230 km/h,7.2 сек / 5.4 сек,4 180 000 / 4 940 000 руб.,Petrol,5,365 Nm / 480 Nm
Jaguar Land Rover,Jaguar X-TYPE,I4 Petrol,1998 cc (I4),160 л.с.,215 km/h,9.0 сек,3 040 000 руб.,Petrol,5,215 Nm
Jaguar Land Rover,Jaguar F-PACE R-Dynamic,I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),340 л.с.,250 km/h,5.4 сек,4 940 000 руб.,Petrol,5,480 Nm
Jaguar Land Rover,Jaguar XE R-Dynamic,I4 Petrol,1999 cc (I4),340 л.с.,250 km/h,5.4 сек,4 560 000 руб.,Petrol,5,450 Nm
Jaguar Land Rover,Jaguar F-Type SVR,V8 Petrol,5000 cc (V8),575 л.с.,320 km/h,3.7 сек,9 120 000 руб.,Petrol,2,700 Nm
Jaguar Land Rover,Jaguar I-PACE Electric Performance,Electric (Dual Motor),90 kWh (Battery),400 л.с.,200 km/h,4.5 сек,6 460 000 руб.,Electric,5,696 Nm
Jaguar Land Rover,Jaguar F-PACE SVR,V8 Petrol,5000 cc (V8),550 л.с.,283 km/h,4.0 сек,6 460 000 руб.,Petrol,5,700 Nm
Jaguar Land Rover,Jaguar XE S,I4 Petrol,1999 cc (I4),340 л.с.,250 km/h,5.3 сек,4 180 000 руб.,Petrol,5,450 Nm
Jaguar Land Rover,Jaguar XF R-Dynamic,I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),340 л.с.,250 km/h,5.4 сек,4 940 000 руб.,Petrol,5,480 Nm
Jaguar Land Rover,Jaguar XJ LWB (Long Wheelbase),V6 Petrol,2995 cc (V6),300 л.с.,250 km/h,6.0 сек,6 840 000 руб.,Petrol,5,400 Nm
Jaguar Land Rover,Jaguar F-Type Heritage Edition,V8 Petrol,5000 cc (V8),550 л.с.,300 km/h,3.9 сек,8 360 000 руб.,Petrol,2,680 Nm
Jaguar Land Rover,Jaguar E-PACE S,I4 Petrol,1999 cc (I4),200 л.с.,230 km/h,7.0 сек,3 800 000 руб.,Petrol,5,430 Nm
Jaguar Land Rover,Jaguar I-PACE HSE,Electric (Dual Motor),90 kWh (Battery),400 л.с.,200 km/h,4.5 сек,6 840 000 руб.,Electric,5,696 Nm
Jaguar Land Rover,Jaguar F-Type V8 R,V8 Petrol,5000 cc (V8),550 л.с.,300 km/h,3.9 сек,7 600 000 руб.,Petrol,2,680 Nm
