Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
Porsche,911 Carrera GTS Lightweight,3.0L Twin-Turbo Flat-6,2981 cc,473 л.с.,311 km/h,3.2 сек,11 042 800 руб.,Petrol,4,570 Nm
Porsche,911 Targa 4 Lightweight,3.0L Twin-Turbo Flat-6,2981 cc,379 л.с.,289 km/h,4.3 сек,10 298 000 руб.,Petrol,4,450 Nm
Porsche,911 Turbo Exclusive Series,3.8L Twin-Turbo Flat-6,3745 cc,607 л.с.,330 km/h,2.9 сек,19 608 000 руб.,Petrol,4,750 Nm
Porsche,911 GT2 RS,3.8L Twin-Turbo Flat-6,3745 cc,700 л.с.,340 km/h,2.8 сек,22 283 200 руб.,Petrol,2,750 Nm
Porsche,911 GT3 Cup,4.0L Naturally Aspirated Flat-6,3996 cc,510 л.с.,290 km/h,3.4 сек,18 620 000 руб.,Petrol,1,470 Nm
Porsche,911 GT4 RS,4.0L Naturally Aspirated Flat-6,3996 cc,500 л.с.,315 km/h,3.4 сек,16 872 000 руб.,Petrol,2,450 Nm
Porsche,911 RSR (Motorsport Edition),4.2L Naturally Aspirated Flat-6,4194 cc,515 л.с.,296 km/h,3.1 сек,57 000 000 руб.,Petrol,1,480 Nm
Porsche,911 Sport Turismo,3.0L Twin-Turbo Flat-6,2981 cc,379 л.с.,293 km/h,4.4 сек,8 816 000 руб.,Petrol,4,450 Nm
Porsche,911 Turbo Cabriolet Lightweight,3.8L Twin-Turbo Flat-6,3745 cc,572 л.с.,318 km/h,3.0 сек,14 538 800 руб.,Petrol,4,750 Nm
Porsche,911 Dakar Sport,3.0L Twin-Turbo Flat-6,2981 cc,473 л.с.,240 km/h,3.5 сек,17 708 000 руб.,Petrol,4,570 Nm
Tata Motors,Tiago,1.2L Revotron 3-cylinder Petrol,1199 cc,86 л.с.,170 km/h,13 сек,623 200 руб.,Petrol,5,113 Nm
Tata Motors,Tiago EV,Permanent Magnet Synchronous,24 kWh,74 л.с.,120 km/h,5.7 сек,836 000 руб.,Electric,5,114 Nm
Tata Motors,Altroz,1.2L Revotron Petrol / 1.5L Diesel,1199 cc / 1497 cc,86 л.с. / 89 л.с.,170 km/h,12 сек,790 400 руб.,Petrol/Diesel,5,113-200 Nm
Tata Motors,Altroz DCA,1.2L Revotron 3-cylinder Petrol,1199 cc,86 л.с.,170 km/h,12.5 сек,858 800 руб.,Petrol,5,113 Nm
Tata Motors,Altroz iTurbo,1.2L Turbocharged Petrol,1199 cc,110 л.с.,180 km/h,10 сек,912 000 руб.,Petrol,5,140 Nm
Tata Motors,Altroz CNG,1.2L Revotron Bi-Fuel,1199 cc,86 л.с.,165 km/h,12 сек,896 800 руб.,CNG/Petrol,5,113 Nm
Tata Motors,Tiago NRG,1.2L Revotron 3-cylinder Petrol,1199 cc,86 л.с.,170 km/h,13.5 сек,699 200 руб.,Petrol,5,113 Nm
Tata Motors,Nano GenX,624cc MPFI,624 cc,37 л.с.,105 km/h,29 сек,304 000 руб.,Petrol,4,51 Nm
Tata Motors,Indica eV2,1.4L CR4 Diesel,1396 cc,70 л.с.,155 km/h,16 сек,471 200 руб.,Diesel,5,140 Nm
Tata Motors,Indica V2 Xeta,1.2L MPFI Petrol,1193 cc,65 л.с.,140 km/h,16 сек,380 000 руб.,Petrol,5,100 Nm
Tata Motors,Tigor,1.2L Revotron 3-cylinder Petrol,1199 cc,86 л.с.,170 km/h,13 сек,714 400 руб.,Petrol,5,113 Nm
Tata Motors,Tigor EV,Permanent Magnet Synchronous,26 kWh,74 л.с.,120 km/h,5.7 сек,1 102 000 руб.,Electric,5,114 Nm
Tata Motors,Zest,1.3L Quadrajet Diesel / 1.2L Revotron Petrol,1248 cc / 1199 cc,75 л.с. / 90 л.с.,165 km/h,15 сек,661 200 руб.,Diesel/Petrol,5,190 Nm / 140 Nm
Tata Motors,Indigo eCS,1.4L CR4 Diesel,1396 cc,70 л.с.,155 km/h,16.5 сек,494 000 руб.,Diesel,5,140 Nm
Cadillac,Escalade,6.2L V8 Gasoline,6200 cc,420 л.с.,210 km/h,6.8 сек,6 026 420 руб.,Petrol,7,624 Nm
Tata Motors,Indigo Marina,1.4L CR4 Diesel / 1.4L Petrol,1396 cc,70 л.с. / 85 л.с.,150 km/h,17 сек,630 800 руб.,Diesel/Petrol,5,135 Nm / 115 Nm
Tata Motors,Manza,1.3L Quadrajet Diesel / 1.4L Petrol,1248 cc / 1368 cc,75 л.с. / 90 л.с.,160 km/h,14 сек,684 000 руб.,Diesel/Petrol,5,200 Nm / 115 Nm
Tata Motors,Indigo LX,1.4L CR4 Diesel,1396 cc,70 л.с.,150 km/h,17 сек,532 000 руб.,Diesel,5,140 Nm
Tata Motors,Indigo GLX,1.4L MPFI Petrol,1396 cc,85 л.с.,160 km/h,15 сек,547 200 руб.,Petrol,5,115 Nm
Cadillac,Escalade ESV,6.2L V8 Gasoline,6200 cc,420 л.с.,205 km/h,6.9 сек,6 254 420 руб.,Petrol,7,624 Nm
Tata Motors,Nexon,1.2L Turbo Petrol / 1.5L Diesel,1199 cc / 1497 cc,118 л.с. / 110 л.с.,180 km/h,10 сек,1 064 000 руб.,Petrol/Diesel,5,170-260 Nm
Tata Motors,Nexon EV Max,Permanent Magnet Synchronous,40.5 kWh,143 л.с.,140 km/h,9 сек,1 900 000 руб.,Electric,5,250 Nm
Tata Motors,Harrier,2.0L Kryotec Turbocharged Diesel,1956 cc,168 л.с.,180 km/h,11 сек,1 748 000 руб.,Diesel,5,350 Nm
Tata Motors,Safari,2.0L Kryotec Turbocharged Diesel,1956 cc,168 л.с.,180 km/h,11 сек,1 938 000 руб.,Diesel,7,350 Nm
